period,metric,target,actual_event,raw_prob,platt_prob,isotonic_prob,stage
2018Q4,p_lt_0,event_lt_0,1,0.1126666666666666,0.1126666666666666,0.1126666666666666,walkforward_calibrated
2019Q1,p_lt_0,event_lt_0,0,0.266,0.08298903260740155,0.1111111111111111,walkforward_calibrated
2019Q2,p_lt_0,event_lt_0,0,0.2346666666666666,0.07667820548903995,0.1,walkforward_calibrated
2019Q3,p_lt_0,event_lt_0,1,0.189,0.07136517890558021,0.09090909090909091,walkforward_calibrated
2019Q4,p_lt_0,event_lt_0,0,0.2106666666666666,0.13313961406831773,0.16666666666666666,walkforward_calibrated
2020Q1,p_lt_0,event_lt_0,1,0.2223333333333333,0.12474414225271134,0.15384615384615385,walkforward_calibrated
2020Q2,p_lt_0,event_lt_0,0,0.316,0.17645100387672877,0.25,walkforward_calibrated
2020Q3,p_lt_0,event_lt_0,0,0.2683333333333333,0.16635826882097873,0.2222222222222222,walkforward_calibrated
2020Q4,p_lt_0,event_lt_0,0,0.2253333333333333,0.157670500761466,0.2,walkforward_calibrated
2021Q1,p_lt_0,event_lt_0,0,0.1736666666666666,0.15003660294118445,0.16666666666666666,walkforward_calibrated
2021Q2,p_lt_0,event_lt_0,0,0.1496666666666666,0.1429874105803877,0.14285714285714285,walkforward_calibrated
2021Q3,p_lt_0,event_lt_0,0,0.1546666666666666,0.13641099094670744,0.125,walkforward_calibrated
2021Q4,p_lt_0,event_lt_0,0,0.1033333333333333,0.1307076058892755,0.08736217133163705,walkforward_calibrated
2022Q1,p_lt_0,event_lt_0,1,0.132,0.12509794035197894,0.1111111111111111,walkforward_calibrated
2022Q2,p_lt_0,event_lt_0,1,0.27,0.15915911662106866,0.19047619047619047,walkforward_calibrated
2022Q3,p_lt_0,event_lt_0,1,0.3383333333333333,0.19251534574080617,0.3333333333333333,walkforward_calibrated
2022Q4,p_lt_0,event_lt_0,0,0.311,0.22484833555170913,0.3333333333333333,walkforward_calibrated
2023Q1,p_lt_0,event_lt_0,0,0.288,0.2159172884274959,0.25,walkforward_calibrated
2023Q2,p_lt_0,event_lt_0,0,0.353,0.20903830462691275,0.999999,walkforward_calibrated
2023Q3,p_lt_0,event_lt_0,1,0.3403333333333333,0.2010933437259485,0.5,walkforward_calibrated
2023Q4,p_lt_0,event_lt_0,0,0.2963333333333333,0.22825734776677353,0.21428571428571427,walkforward_calibrated
2024Q1,p_lt_0,event_lt_0,0,0.3103333333333333,0.22111302290436652,0.2,walkforward_calibrated
2024Q2,p_lt_0,event_lt_0,0,0.259,0.2130197297594983,0.19230769230769232,walkforward_calibrated
2024Q3,p_lt_0,event_lt_0,0,0.0383333333333333,0.2028345365101195,1e-06,walkforward_calibrated
2024Q4,p_lt_0,event_lt_0,0,0.126,0.19815019023622055,0.18518518518518517,walkforward_calibrated
2025Q1,p_lt_0,event_lt_0,1,0.2746666666666666,0.19602496923738993,0.17857142857142858,walkforward_calibrated
2025Q2,p_lt_0,event_lt_0,0,0.2876666666666667,0.2189804553001396,0.25,walkforward_calibrated
2025Q3,p_lt_0,event_lt_0,0,0.1966666666666666,0.21008089412271314,0.2,walkforward_calibrated
2025Q4,p_lt_0,event_lt_0,0,0.3026666666666666,0.2080421021717823,0.2222222222222222,walkforward_calibrated
2026Q1,p_lt_0,event_lt_0,0,0.174,0.198858698779884,0.18181818181818182,walkforward_calibrated
